tempo,danceability,energy,instrumentalness,liveness,valence
160.034,0.834,0.57,0,0.11,0.614
159.971,0.723,0.201,0.000424,0.124,0.268
182.158,0.519,0.667,0,0.0606,0.0633
169.898,0.54,0.899,4.90E-05,0.127,0.0585
155.148,0.476,0.865,0,0.109,0.334
159.967,0.746,0.441,0.0331,0.099,0.145
205.386,0.545,0.47,0.00119,0.106,0.351
166.009,0.713,0.52,2.52E-06,0.108,0.234
158.039,0.511,0.649,0,0.12,0.0586
160.12,0.734,0.375,6.94E-06,0.0922,0.183
128.988,0.849,0.397,0,0.111,0.144
149.013,0.497,0.602,0.000274,0.119,0.197
157.997,0.79,0.291,0.00638,0.109,0.3
216.04,0.711,0.545,0,0.122,0.345
200.078,0.824,0.394,0,0.173,0.21
135.939,0.448,0.43,0.448,0.251,0.0767
158.06,0.874,0.441,0.00807,0.0869,0.401
168.083,0.687,0.594,0,0.236,0.435
145.046,0.666,0.7,0.12,0.105,0.294
164.016,0.703,0.757,0,0.106,0.696
118.015,0.829,0.457,1.23E-05,0.0772,0.257
130.075,0.719,0.461,2.03E-06,0.0869,0.496
160.054,0.776,0.466,0,0.116,0.726
150.95,0.675,0.59,0,0.146,0.29
159.987,0.727,0.404,0,0.0691,0.304
180.04,0.777,0.732,0,0.149,0.101
122.989,0.866,0.505,0.0247,0.0903,0.248
124.992,0.636,0.574,0.00142,0.108,0.0999
141.928,0.809,0.725,0,0.257,0.585
179.992,0.675,0.628,0,0.0868,0.511
112.058,0.859,0.581,0,0.0812,0.268
153.923,0.685,0.516,0,0.0834,0.189
160.037,0.622,0.563,0,0.0861,0.409
149.99,0.592,0.753,0,0.114,0.559
180.164,0.621,0.548,0.00952,0.103,0.23
159.994,0.724,0.68,5.41E-06,0.118,0.247
219.992,0.615,0.674,0.000372,0.296,0.0395
159.682,0.38,0.351,6.07E-06,0.104,0.0765
158.932,0.639,0.549,0,0.124,0.235
124.985,0.552,0.673,0.194,0.268,0.101
119.968,0.713,0.594,2.48E-05,0.395,0.358
119.973,0.628,0.772,0,0.115,0.0748
140.031,0.646,0.458,0,0.23,0.0511
123.069,0.748,0.633,1.16E-05,0.12,0.25
146.012,0.615,0.836,0.0112,0.198,0.438
170.055,0.694,0.711,3.96E-05,0.127,0.267
167.82,0.455,0.559,0.000134,0.115,0.207
179.912,0.725,0.582,1.91E-05,0.106,0.471
159.768,0.703,0.39,0,0.178,0.624
147.996,0.786,0.34,0,0.106,0.294
130.037,0.705,0.648,0.000595,0.373,0.398
142.966,0.767,0.897,2.51E-05,0.257,0.312
219.964,0.676,0.971,0.0384,0.2,0.151
200.066,0.621,0.972,3.33E-05,0.331,0.433
172.206,0.527,0.605,0,0.262,0.552
75.418,0.45,0.17,0.138,0.044,0.213
119.995,0.891,0.597,0.256,0.0949,0.126
143.028,0.906,0.33,0.000328,0.105,0.263
179.435,0.31,0.829,0.000149,0.174,0.084
130.017,0.664,0.372,0,0.11,0.188
183.888,0.629,0.778,0.0577,0.105,0.334
127.174,0.308,0.238,0.000312,0.11,0.152
159.939,0.628,0.535,0.0927,0.0817,0.68
120.046,0.584,0.485,1.43E-05,0.109,0.0339
142.271,0.57,0.827,4.15E-05,0.215,0.192
160.08,0.54,0.791,0,0.0859,0.121
123.964,0.875,0.332,1.30E-06,0.0884,0.38
140.014,0.829,0.823,0.00169,0.487,0.153
150,0.49,0.501,0.0101,0.199,0.113
130.04,0.778,0.114,0.0557,0.366,0.42
113.984,0.928,0.343,0.0101,0.114,0.208
216.14,0.84,0.589,0.0373,0.118,0.0309
159.978,0.671,0.548,3.86E-05,0.0985,0.687
135.006,0.886,0.316,0.0166,0.108,0.0389
154.388,0.692,0.716,0,0.0446,0.484
